"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 16 14:16:21 GMT 2025","Thu Jan 16 14:16:22 GMT 2025","916","firefox","ui-tests/navigation.spec.ts","Verify navigation","","","Check pagination",""
"passed","Thu Jan 16 14:16:23 GMT 2025","Thu Jan 16 14:16:23 GMT 2025","93","api-tests","api-tests/get-user.spec.ts","APIs for users","","","list users on the second page",""
"passed","Thu Jan 16 14:16:18 GMT 2025","Thu Jan 16 14:16:20 GMT 2025","1443","firefox","ui-tests/form.spec.ts","Verify the form","","","Fill the form",""
"passed","Thu Jan 16 14:16:17 GMT 2025","Thu Jan 16 14:16:18 GMT 2025","498","chromium","ui-tests/navigation.spec.ts","Verify navigation","","","Check pagination",""
"passed","Thu Jan 16 14:16:23 GMT 2025","Thu Jan 16 14:16:23 GMT 2025","283","api-tests","api-tests/get-user.spec.ts","APIs for users","","","create a user",""
"passed","Thu Jan 16 14:16:16 GMT 2025","Thu Jan 16 14:16:17 GMT 2025","996","chromium","ui-tests/form.spec.ts","Verify the form","","","Fill the form",""
