"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 14 13:39:28 GMT 2025","Tue Jan 14 13:39:28 GMT 2025","639","chromium","ui-tests/form.spec.ts","Verify the form","","","Fill the form",""
"passed","Tue Jan 14 13:39:37 GMT 2025","Tue Jan 14 13:39:37 GMT 2025","112","api-tests","api-tests/get-user.spec.ts","APIs for users","","","list users on the second page",""
"failed","Tue Jan 14 13:39:29 GMT 2025","Tue Jan 14 13:39:29 GMT 2025","491","chromium","ui-tests/navigation.spec.ts","Verify navigation","","","Visual regression",""
"failed","Tue Jan 14 13:39:35 GMT 2025","Tue Jan 14 13:39:36 GMT 2025","686","firefox","ui-tests/navigation.spec.ts","Verify navigation","","","Visual regression",""
"passed","Tue Jan 14 13:39:34 GMT 2025","Tue Jan 14 13:39:35 GMT 2025","570","firefox","ui-tests/navigation.spec.ts","Verify navigation","","","Check pagination",""
"passed","Tue Jan 14 13:39:30 GMT 2025","Tue Jan 14 13:39:34 GMT 2025","4243","firefox","ui-tests/form.spec.ts","Verify the form","","","Fill the form",""
"passed","Tue Jan 14 13:39:37 GMT 2025","Tue Jan 14 13:39:37 GMT 2025","179","api-tests","api-tests/get-user.spec.ts","APIs for users","","","create a user",""
"passed","Tue Jan 14 13:39:29 GMT 2025","Tue Jan 14 13:39:29 GMT 2025","284","chromium","ui-tests/navigation.spec.ts","Verify navigation","","","Check pagination",""
